ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1321	Eukaryota	Chordata	Actinopteri	Sciaenidae__o	Sciaenidae	NA	NA
ASV_1323	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja eglanteria
ASV_1324	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1329	Eukaryota	Chordata	Actinopteri	Siganidae__o	NA	NA	NA
ASV_133	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1333	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1334	Eukaryota	Chordata	Actinopteri	Sciaenidae__o	Sciaenidae	Menticirrhus	Menticirrhus saxatilis
ASV_1336	Eukaryota	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	NA
ASV_1337	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1338	Eukaryota	Chordata	Actinopteri	Istiophoriformes	NA	NA	NA
ASV_134	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja ocellata
ASV_1341	Eukaryota	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	NA
ASV_1343	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1344	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1346	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
ASV_135	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_136	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1361	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1362	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1363	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1369	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1370	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
ASV_1378	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_138	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1386	Eukaryota	Chordata	Actinopteri	Scombriformes	Nomeidae	NA	NA
ASV_14	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja ocellata
ASV_140	Eukaryota	Chordata	Mammalia	Primates	Hominidae	NA	NA
ASV_1406	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Triakis	Triakis semifasciata
ASV_1407	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae	Bathytoshia	NA
ASV_1409	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_141	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1411	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1412	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1415	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1417	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_142	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1423	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
ASV_1426	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautoga	Tautoga onitis
ASV_1429	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	NA
ASV_1430	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja erinacea
ASV_1434	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	NA	NA
ASV_144	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1447	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	NA
